,Course,Section,Title,Description
14,ETLS 611,ETLS 611,Foundations of Sustainability,"This course provides an overview of the key natural, social, economic and governance systems, principles and perspectives impacting a sustainable future. Using Electric Vehicles as a springboard, we will address the complex natural systems (water, land, climate) and social systems (economics, government, business) involved in improving human and environmental health and successfully transitioning to sustainable technology. Through case studies and practical exercises, students will develop a deep understanding of the interdependent systems impacted when developing and implementing sustainable and regenerative practices in a range of industries and sectors. A majority of the course is asynchronous online content, with the exception of two scheduled synchronous meeting dates, Sept 10 and Dec 10."
15,ETLS 620,ETLS 620,Communication Systems,"Introduction to Fourier analysis of noise and signals, analog modulation techniques including amplitude modulation, frequency modulation, and phase modulation, pulse code modulation, behavior of analog communication systems in the presence of noise, information theory, and source coding.
Prerequisite: ENGR 340 or approval from instructor"
16,ETLS 640,ETLS 640,Lean Six Sigma,"Lean Six Sigma is a course designed to equip students with practical problem-solving skills and hands-on experience in Lean Six Sigma methodology, to better prepare and be more competitive for jobs.  Instead of focusing on theoretical knowledges, the course is structured in a workshop style setting that the class will break into multiple teams, each working on a capstone style project from real-life (from class) throughout the course.  This setting will allow students to systematically apply the newly learned Lean Six Sigma methodology and tools in a just-in-time fashion that leads to the final project report, to effectively tell the story and journey of what have been done and achieved - a much needed capability at work.  This course, while devoting 1 session to review relevant statistical analytics, will focus on non-statistical tools and can be used to prepare for Lean or Six Sigma certification."
17,ETLS 657,ETLS 657,Product Lifecycle Management,"The course will provide students with real-world strategies and techniques to effectively navigate each stage of the product lifecycle process, from ideation to market delivery and sunset. Each phase will be examined to identify best practices and measurement criteria for successful completion.  Since exit criteria and process flow will be examined, the student will learn methods used to bring an enhanced or new product or service to successful realization along with mindset to react as required to changing market conditions that may impact their product introduction plans. This will be accomplished by utilizing a combination of lecture, discussion, group assignments, readings, books, and an individual project to reinforce key course concepts."
18,ETLS 660,ETLS 660,Engineering Leadership,"The course addresses three basic questions: 1. What makes for a highly effective leader? 2. Who am I as a leader and how do I exhibit my leadership? 3. How do I develop my leadership?
It is designed to develop engineering students’ leadership capabilities by building their own ‘roadmap’ for their leadership; increasing clarity about one’s self as a leader; strengthening their awareness for interpersonal and leadership effectiveness within organizations; and sharpening their capability for managing their leadership development throughout their career and life. Designed in seminar format, the course provides students with multiple readings, personal assessments, exercises and case studies, guest speakers, and large and small group dialogue. Students are encouraged to consider a vision of their career within a global mindset and grounded in the Engineering Code of Ethics. Assignments are intended to facilitate career management and presenting oneself as a professional and as a leader."
19,ETLS 678,ETLS 678,Applications of AI in Engr,"Introduction to wearable sensor systems, applications, data analysis and IoT.Through this course, you will learn how to develop wearable platform for various different applications. Applications include, but not limited to, personal health monitoring, fitness, communication and assistive systems. Information collected from the wearable systems can be analyzed and expanded to an Internet of Things (IoT) applications to better implement health and wellness management systems. Through the course, we will also extend wearable applications and IoT technology to discuss smart homes and smart cities. Topics include: wearable sensors and systems, wearables applications, networking and communication, and data analysis via mobile (cloud) computing."
20,ETLS 681,ETLS 681,"AI, Robotics & Autonomous Sys","This course discusses the application of intelligent robots, such as navigation and control, using machine vision-based artificial intelligence, which is essential for the decision-making of intelligent autonomous robots required in Industry 5.0 and various next-generation industries. Learn the functions of vision and lidar sensors for robots to obtain information from the environment, navigation, control, and convergence technology of computer vision. In detail, ROS (Robotics Operating System), image analysis in which the characteristics of a single image, a moving sequence of images, and a moving camera, including the use of traditional computer vision algorithms, are discussed. Acquisition of image information from vision sensors, theories and programming practice of object recognition technology, and application skills through robot control are acquired. The course also discusses the diverse robot applications expected to be seen in Industry 5.0 coupled with artificial intelligence/deep learning."
21,ETLS 699,ETLS 699,Discrete Ctrl of Power Elect,"Course Description
Power Electronics (PE) systems (PES) efficiently transform input electrical power in one form to an electrical output in another form; e.g. DC in, AC out. A complete PES is comprised of several subsystems. For example, a PES typically includes the PE conversion electronics, the controls subsystem, the PCB which effectively integrates all PES subsystems, and finally, the thermal management and safety/fault protection subsystem. The common PE topologies associated with the input-output transformation of electrical power are covered in ETLS-746 Power Electronics.
This course is a follow-on to ETLS-746 Power Electronics as an exciting transformation is currently underway with regard to how PES are controlled. Traditionally, PES were controlled using classical analog methods. Over the past decade, state-of-art DSPs, FPGAs, and microcontrollers have become sufficiently capable to enable the discrete control of modern PES. In this PE controls class the foundations of state-space methods of discrete control of PES will be introduced and covered along with particular attention given to model predictive control (MPC) methods as applicable to PES.
Prerequisites: (1) Undergraduate controls (ENGR-410) and ETLS-746 Power Electronics (or their respective equivalents) or (2) Instructor permission. Prior completion of ETLS-810 Advanced Control Systems will enhance the course experience. A working knowledge of PSIM and Matlab is required."
22,ETLS 699,ETLS 699,Engr Metrology-Appli & Interpr,"This special topics course will bridge the gap between design, manufacturing, and verification of manufactured products by gaining a deeper understanding of measurement principles and applications.  Students will enhance their knowledge about dimensional as well as other physical measurement requirements to ensure product conformance.  Measurement technologies with hardware and software solutions for the practical user and proper use of measurement system specifications will be discussed at length. This will prepare the student to formulate and implement solutions to measurement challenges within their work environment.  Topics such as Geometric Dimensioning and Tolerancing, Surface Texture, Measurement Standards and Measurement Uncertainty will be covered.  Students will have the opportunity to visit local organizations that excel in supporting or delivering metrology solutions.  Some sessions may have guest lectures from industry experts in Virtual or In-person format."
23,ETLS 701,ETLS 701,Design of Experiments,"This course provides the student with a set of skills to improve products and processes already in manufacturing as well as to develop products and processes in the development stages of a project.  The definition of DOE promoted is ' a tool to assist in the process of understanding the system'. There will be discussion of how DOE fits into the overall product lifecycle and where it applies and does not apply to the area of testing.  Tools covered include full and fractional factorials, central composite, Box-Behnken, Taguchi, Evolutionary Operation and the method of steepest ascent.  Theoretical statistics understanding is assumed coming into the course.  A standard, simple process will be presented which allows for improved communication and user confidence in using the tool set.  The primary objective is to assist the student in implementing the skills learned as a part of the course.  This is an applications - oriented course that includes case studies, team projects, student presentations and reports, guest lecturers and use of computational software.  A quick statistical overview will be provided in the class as a refresher, but is not intended to cover the subjects in depth to students new to the subject.  It would still be beneficial to review all of the topics prior to starting the class. The underlying statistics covered in ETLS 506 are a critical foundation for the material presented in the DOE class.  The minimum background needs to include an understanding of: statistical symbology; normal distribution; ANOVA; and z, t, and F tests.  General understanding of alpha and beta errors flow charts, Pareto charts, cause and effect diagrams and SPC is nice but not required.  If you have equivalent background, the instructor will grant a written waiver."
24,ETLS 721,ETLS 721,Med Dev Regulatory Submiss,"This course teaches the student about submissions for regulatory approval of medical devices.  Topics include: medical device law, custom and research devices, significant and non-significant risk devices, FDA investigational device exemption, 510(k) substantial equivalence determination, pre-market approval, PMA supplements, third party review, combination devices, European economic area CE mark, international harmonization, MDR, device tracking, post market surveillance, and annual post approval reporting. Depending upon the degree of class interest medical device submissions in Canada, Australia and Japan may be covered."
25,ETLS 722,ETLS 722,Med Device Quality Systems,"This class will focus on medical device quality system requirements for medical device manufacturers. The majority of class time will be spent reviewing the U.S. FDA Quality System Regulation with additional focus on the European Quality Standard for Medical Devices, ISO 13485, and the European Medical Device Regulation. The course includes a short overview on the history of FDA regulation, sources of U.S. law and regulated activities. Additional class topics include an introduction to the U.S. regulatory submission process, complaint handling, medical device event reporting, risk management, and corrections & removals. Several classes will include lecture and classroom 
discussion on how to handle FDA inspections, and the ramification of non-compliance discovered during inspections. Classroom methodology will be lectures with substantial student interaction encouraged. Coursework includes small group presentation and paper development as well as presentations of that work to the broader class."
26,ETLS 723,ETLS 723,Biomat'ls in Design Med Device,"This course will develop the necessary background to understand the material selection process in the design of medical devices. The students will learn about biomaterials and also develop an appreciation for the relationships 
between a material’s properties, structure, and the implementation to achieve a desired functionality. The class is also suitable for students who do not have an extensive background in organic chemistry, biochemistry, or materials science. The first half of the semester will concentrate on the properties of several classes of materials including metals, polymers, ceramics, and composites. Topics such as material characterization, biocompatibility, processing of biomaterials, and failure of medical devices will be included in the second half. A number of existing medical devices and various real-life issues related to these devices will be explored based on instructor’s experience of working in the industry. The course will be applications oriented, with particular emphasis on orthopedic and cardiovascular applications. This course will use a combination of lectures, guest lectures, tours, student presentations, and self-directed learning."
27,ETLS 731,ETLS 731,"Combo Products, Drugs & Biolog","This course gives an introduction to the submission approval process, validation, manufacturing and quality requirements for combination products, drugs and biologics. Course topics will include a historic overview, the process to determine which FDA Center controls the regulatory process, applicable regulations and post-market approval practices for these products. Students will learn how the regulations and practices at CDER and CBER differ from CDRH. They will also learn how the FDA designated controlling center will shape the submission clearance/approval process, manufacturing control, and post-market requirements for a combination product."
28,ETLS 735,ETLS 735,Preclinical Activities,"Pre-clinical testing is utilized to evaluate the safety and potential efficacy of promising medical technologies prior to evaluation and use in human beings.  This testing information is required by regulatory agencies around the world.  The studies also provide extremely valuable and cost effective product development opportunities for medical product sponsors.  The tests are defined by guidance documents, international standards and the formal product risk assessment.  Coordination of the multifunctional team that acquires and also utilizes this data can greatly enhance the value of this testing.  This course will review the history and preclinical regulatory requirements of medical devices and description planning and management of associated pre-clinical evaluations.

In addition, the risks involved in medical device development and use are explored.  Risk mitigation activities associated with development of an actual medical device are presented and then experienced through their application for a hypothetical medical device.  Class time is devoted to providing feedback for individual student projects about mitigating the development risks for a student chosen real or hypothetical medical device."
29,ETLS 738,ETLS 738,Int Reg Afrs for Med Dev:T2,"This class will provide a comprehensive understanding of regulations for medical devices in Australia, New Zealand, South Africa, Israel and key Tier II countries (defined by FDA as those not in Tier I) including China, South Korea, Brazil, Mexico, as well as major Asia/Pacific, Middle East and Latin American countries, and the relationship between regulatory strategy and product development. The course includes discussion of medical device regulation and case studies of the current respective regulatory climate to help students develop practical application, interpretation, and enforcement of these regulations."
30,ETLS 739,ETLS 739,EV Market and Technologies,"A one semester graduate course exploring the key areas of electric vehicle market and technologies. This course will provide an understanding of the present state of electric vehicle market and technologies, perspectives on the dynamics of the market and plenty of ideas on future opportunities. This course will provide a solid foundation for anyone considering future career or business options with EVs and related technologies in this fast-growing field."
31,ETLS 744,ETLS 744,Power Systems and Smart Grids,"An introduction to the practical aspects of power systems and the power grid. In one semester, this course will cover essential introductory concepts necessary to understand and use power systems as well as provide the foundation for more advanced power system study."
32,ETLS 748,ETLS 748,Renewable Energy Generation,"Energy is one of the most important issues of the century. This course will provide a basic understanding of various renewable and classical electric energy generation techniques. It will cover, among others, thermal, hydro, nuclear, solar, and wind-based power generation. We'll also review certain basic aspects of power storage and delivery. This course will help students in the evaluation and analysis of various energy systems in the context of technology, economics, and sustainability."
33,ETLS 753,ETLS 753,Power Sys Protection & Relay,"This course covers the fundamentals of and the application of relays for power system protection. Topics in the course include: Power System Philosophies, Types of Power System Protection, Faults, Symmetrical Components and Neutral Grounding , Fuses,Instrument Transformers,Relays – Types and Operating Principles, Circuit Breakers as well as Transmission Line Protection, Busbar Protection, Transformer Protection, Circuit Breaker Protection,  Shunt Capacitor Protection, Shunt Reactor Protection, Generator Protection, Motor Protection, System Protection. Prerequisite: ETLS 744."
34,ETLS 755,ETLS 755,Strategic Engineering Mgmt,"This course is designed to instill a strategic mindset that will enable students to successfully exploit external opportunities while addressing challenges and threats from a manager or executive perspective. Questions include: What are the strategies of the organization? Competitive advantages? Core competencies? How do we pursue these? Does the engineering organization have a technology roadmap to success? Do the current investments align?

Closely related topics include risk management, the impact of global megatrends, M & A, due diligence, joint ventures, and intellectual property protection.

In short how to think like a successful executive. You are now in charge of your company’s engineering organization. They are going to invest 3% in anything you decide.  Output would include a “mini-business case” for engineering organization. Networking is key, they need to be working cross-organizationally (Personal Branding—how do I shape this), Make vs buy."
35,ETLS 770,ETLS 770,Automated Control Mfg Process,"An introduction to the key elements of control systems employed in manufacturing with examples from both batch and continuous-process applications.  First, the fundamental theory of operation of closed loop (binary and analog) control systems is developed.  Students will explore using PLCs to implement modern systems and become familiar with a PLC programming language.  Second, the theory of operation and performance limits of sensors and actuators used in the industrial environment is explored.  Some sensors to be considered measure position, speed, temperature, flowrate, level and force.  Some actuators to be considered include pumps, hydraulic and pneumatic cylinders, heaters, valves, stepping motors, and AC and DC motors.  Future trends in control systems targeted for the manufacturing plant will be presented.  Students will demonstrate their ability to automate a manufacturing cell and quantify the cost impact of the project on the manufacturing example chosen in a term paper. Instructor's permission required for MS, MBA and Certificate students."
36,ETLS 771,ETLS 771,Materials Engineering,"This course introduces the student to theory and application of engineering materials.  While particular emphasis is placed on traditional structural materiasl, emerging materials technology is also discussed.  Topics explore the physical and mechanical properties of metals, polymers, ceramics, and composite materials.   Useful applications and limitations of those materials presented, and means of modifying their properties are discussed at length.  Guest speakers and industrial tours supplement traditional learning by exposing the student to particular materials application, processing and evaluation."
37,ETLS 777,ETLS 777,Finite Element Analysis,"This course offers an introduction to finite element analysis (FEA) in theory and practice.  Students will learn the mathematical and physical foundation of the method, and will also be exposed to implementation via a commerical FEA program.  Solution to real problems and projects will be integral parts of the course content and grade.  Emphasis will be placed on the use of FEA for solid/structural mechanics problems, while the solution for thermal and fluid problems will be covered superficially. A strong background in mechanics of materials, physics and calculus is necessary.  Knowledge of computer operating systems (windows or UNIX) and programming languages (FORTRAN, Basic, C) will be useful, but is not required."
38,ETLS 779,ETLS 779,FEA in Manufacturing,"This course offers an introduction to finite element analysis (FEA) in theory and practice as applied in the manufacturing arena. Students will gain a foundation of the method and will be exposed to multiple FEA programs.  An integral part of the course content will include solutions to real problems that are encountered by local manufacturing companies. Some topics which will be covered include structural mechanics, machining, thermal analysis, and fluid dynamics.  A strong background in mechanics of materials, physics, and manufacturing is necessary."
39,ETLS 789,ETLS 789,Sim. & Vis. of Dynamic Sys.,"Many engineering systems are inherently dynamic in nature. Characterizing and designing such systems requires mathematical modeling, simulation, and visualization using modern software such as MATLAB, SIMULINK, and SolidWorks, possibly with add-on modules. Lectures focus on the detailed applied mathematical modeling of a variety of systems from different energy domains with a bias towards mechanical systems such as mechanical translational, mechanical rotational, hydraulic, thermal, among others. The laboratory has 3 components to  it: (1) software training(as necessary) , (2) developing dynamic models using MATLAB and SIMULINK, (3) creating CAD models of systems, and (4) integrating the dynamics models with the visualization to create computer animations of the resulting motions of the mechanical systems. Students also work on a team-based dynamic simulation and visualization of mechanical systems project."
40,ETLS 858,ETLS 858,Engineering Capstone,"The Engineering Capstone course provides graduating Masters students with a long-term perspective on the rapidly-changing face of global industry and technology, and familiarizes class members with important concepts pertaining to developing company strategy and attaining company objectives.  The course emphasizes personally understanding issues of leadership and ethics in a global environment, and the impact of technical considerations in the context of a global society. Students will integrate concepts and ideas from their previous coursework and experiences into a cohesive body of knowledge, building on an awareness of 21st Century issues. An intended deliverable is that each student will personalize 'the right questions to ask' for lifelong learning. In so doing, they will continue to optimize their effectiveness in the challenging global economy of today and tomorrow. Prerequisite: To register, students must be within six credits of completing their degree (excepting the Capstone) and have no grades of Incomplete."
41,SEIS 601,SEIS 601,Foundations of Java I,"This is a foundational software development course focusing on fundamental programming concepts as implemented using the Java programming language. These concepts include general problem solving and algorithm creation techniques, primitive and object data types, constants, variables, expressions, and boolean logic and control flow. In addition, we will discuss fundamental object-oriented concepts, such as objects and classes, object instantiation and initialization, method implementation and invocation, interfaces, inheritance, and garbage collection. Students will apply these concepts by writing programs in the Java programming language. JUnit will be discussed for Unit and Integration Testing."
42,SEIS 602,SEIS 602,Foundations of Java II,"This is a foundational software development course focusing on intermediate-level fundamental and foundational concepts. Abstract data type concepts will be discussed in detail. Data Structures and some of their associated algorithms for Algorithm Analysis will be discussed. Canonical implementations and framework supplied implementation alternatives (such as the JDK or other framework alternatives) will be explored and used as well. To apply the lecture concepts, we will implement software using the Java programming language and explore some of the tools used by software developers. Eclipse would be used as an integrated development environment for code development. Further, tools for managing software build, configuration, and version control (e.g., Git) and unit and integration testing (e.g., JUnit) will be used. We will also discuss multi-threading, memory management, refactoring, and advanced debugging techniques. Prerequisite: SEIS 601 or equivalent"
43,SEIS 603,SEIS 603,Foundations of Python I,"This is an introductory software development course with a focus on fundamental and foundational concepts. These concepts include general problem solving and algorithm creation techniques, data types, constants, variables and expressions, boolean, control flow, and object-oriented concepts. Applying these concepts, we implement programs using the Python language. We will examine its use as an interpreted and a compiled language, working with data types such as numbers, strings, lists, dictionaries, and sets. Students will learn how to apply Python in managing data. PyTest will be discussed for Unit and Integration Testing."
44,SEIS 603,SEIS 603,Foundations of Python I,"This is an introductory software development course with a focus on fundamental and foundational concepts. These concepts include general problem solving and algorithm creation techniques, data types, constants, variables and expressions, boolean, control flow, and object-oriented concepts. Applying these concepts, we implement programs using the Python language. We will examine its use as an interpreted and a compiled language, working with data types such as numbers, strings, lists, dictionaries, and sets. Students will learn how to apply Python in managing data. PyTest will be discussed for Unit and Integration Testing."
45,SEIS 604,SEIS 604,Foundations of Python II,"This is a foundational software development course focusing on intermediate-level fundamental and foundational concepts. Abstract data type concepts will be discussed in detail. Data Structures and some of their associated algorithms for Algorithm Analysis will be discussed. Canonical implementations and framework supplied implementation alternatives will be explored and used as well. To apply the lecture concepts, we will implement software using the Python programming language and explore some of the tools used by software developers. Spyder or PyCharm would be used as integrated development environments (IDE) for code development. Further, tools for managing software build, configuration, and version control (e.g., Git) and unit and integration testing (e.g., PyTest) will be used. We will also discuss multi-threading, memory management, refactoring, and advanced debugging techniques. Prerequisites: SEIS 603"
46,SEIS 610,SEIS 610,Software Engineering,"This introductory course covers software engineering concepts, techniques, and methodologies. The course introduces software engineering life-cycle models, such as Scrum and Kanban. Students learn the essential concepts of different lifecycle models and where their application is appropriate. The course continues by teaching concepts of requirements acquisition and various methods of requirements refinement. Also presented in this course are concepts of object-oriented and structured design. The course incorporates vital supporting topics such as software metrics, project planning, cost estimation, software maintenance, and an introduction to data structures and running time analysis. Prerequisite: SEIS 601 or SEIS 603. SEIS 610 can be taken concurrently with SEIS 601 or SEIS 603."
47,SEIS 615,SEIS 615,Cloud Computing,"This course covers the fundamentals of IT infrastructure in the cloud. It provides a detailed overview of cloud concepts, services, security, architecture, and economics. This course will examine the theory behind these modern practices and the real-world implementation challenges faced by IT organizations. Students will learn how to design and implement cloud-based solutions. While the lessons will cover a number of theoretical concepts, we will primarily learn by doing. Students will gain hands-on experience with several widely-adopted IT platforms including AWS and Docker."
48,SEIS 615,SEIS 615,Cloud Computing,"This course covers the fundamentals of IT infrastructure in the cloud. It provides a detailed overview of cloud concepts, services, security, architecture, and economics. This course will examine the theory behind these modern practices and the real-world implementation challenges faced by IT organizations. Students will learn how to design and implement cloud-based solutions. While the lessons will cover a number of theoretical concepts, we will primarily learn by doing. Students will gain hands-on experience with several widely-adopted IT platforms including AWS and Docker."
49,SEIS 616,SEIS 616,Infrastructure as Code,"This course covers the engineering and design of IT infrastructure, focusing on infrastructure as Code practices. IT infrastructure deployment practices are rapidly changing as organizations build infrastructure as code and adopt cloud computing platforms. We will examine the theory behind these modern practices and the real-world implementation challenges faced by IT organizations. The lessons will cover a number of tools, techniques, and patterns to implement infrastructure as code. Students will learn about platforms and tooling involved in creating and configuring infrastructure elements, patterns for using these tools, and practices for making infrastructure as code work in production. Prerequisites: SEIS 615"
50,SEIS 622,SEIS 622,Web App Development,"This course will teach students the essentials of becoming a full stack web developer by creating dynamic, interactive websites, and is suitable for anyone with basic computer programming skills. The course initially focuses on HTML, CSS and JavaScript and later transactions into technologies like Angular framework, Node, and Serverless functions in a cloud environment.  Students develop skills for designing, publishing, and maintaining websites for professional or personal use. No previous experience or knowledge of web development is needed. Prerequisites: SEIS 601 or 603"
51,SEIS 627,SEIS 627,Software Agile Processes,"This course will provide students with a comprehensive overview of the principles, processes, and practices of many available agile software product development techniques. Students will learn agile planning, development, and delivery techniques with Scrum, Kanban, Lean, Extreme, Crystal, Dynamic, and Feature Driven Development.  Scaled agile framework (SAFe) for large enterprises in scaling lean and agile practices beyond a single team along with Large-scale Scrum (LeSS) and disciplined agile delivery (DAD) will also be explored.  Students will be provided with the opportunity to apply the skills in creating and delivering new products in a team environment.  Drivers behind agility in software development along with methods for project tracking, project communication, team collaboration, client relationship management, stakeholder management and quality of deliverables will be discussed at length."
52,SEIS 630,SEIS 630,Database Mgmt Systems & Design,"This course focuses on database management system concepts, database design, and implementation. Conceptual data modeling using Entity Relationships (ER) is used to capture the requirements of a database design. Relational model concepts are introduced and mapping from ER to relational model is discussed. Logical database design, normalization, and indexing strategies are also discussed to aid system performance. Structured Query Language (SQL) is used to work with a database using the Oracle platform. The course also covers query optimization and execution strategies, concurrency control, locking, deadlocks, security, and backup/recovery concepts. Non-relational databases are also briefly introduced. Students will use Oracle and/or SQL Server to design and create a database using SQL as their project."
53,SEIS 630,SEIS 630,Database Mgmt Systems & Design,"This course focuses on database management system concepts, database design, and implementation. Conceptual data modeling using Entity Relationships (ER) is used to capture the requirements of a database design. Relational model concepts are introduced and mapping from ER to relational model is discussed. Logical database design, normalization, and indexing strategies are also discussed to aid system performance. Structured Query Language (SQL) is used to work with a database using the Oracle platform. The course also covers query optimization and execution strategies, concurrency control, locking, deadlocks, security, and backup/recovery concepts. Non-relational databases are also briefly introduced. Students will use Oracle and/or SQL Server to design and create a database using SQL as their project."
54,SEIS 631,SEIS 631,Data Preparation and Analysis,"This course provides a broad introduction to the subject of data analysis by introducing common techniques that are essential for analyzing and deriving meaningful information from datasets. In particular, the course will focus on relevant methods for performing data collection, representation, transformation, and data-driven decision making. The course will introduce students to Statistical Science including Probability Distribution, Sampling Distribution, Statistical Inference, and Significance Testing. Students will also develop proficiency in the widely used Python language which will be used throughout the course to reinforce the topics covered. Packages like NumPy and Pandas will be discussed at length for Data Cleaning, Data Wrangling: Joins, Combine, Data Reshape, Data Aggregation, Group Operation, and Time Series analysis. Prerequisite: SEIS 603"
